Could not delete age group — it may still be referenced by issues.,Ntibyashobotse gusiba itsinda ry'imyaka — rishobora kuba rikiri gukoreshwa n'ibibazo.
Could not delete category — it may still be referenced by issues.,Ntibyashobotse gusiba icyiciro — gishobora kuba kikiri gukoreshwa n'ibibazo.
Could not delete citizen group — it may still be referenced by issues.,Ntibyashobotse gusiba itsinda ry'abaturage — rishobora kuba rikiri gukoreshwa.
Could not delete department — it may still be referenced by categories or issues.,Ntibyashobotse gusiba ishami — rishobora kuba rikiri gukoreshwa n'ibyiciro cyangwa ibibazo.
Could not delete status — it may still be referenced by issues.,Ntibyashobotse gusiba imimerere — ishobora kuba ikiri gukoreshwa n'ibibazo.
Could not delete template.,Ntibyashobotse gusiba icyitegererezo.
Could not delete type — it may still be referenced by issues.,Ntibyashobotse gusiba ubwoko — bushobora kuba bukiri gukoreshwa n'ibibazo.
Could not delete {0} department(s) — they may still be referenced by categories or issues.,Ntibyashobotse gusiba amashami {0} — ashobora kuba akiri gukoreshwa n'ibyiciro cyangwa ibibazo.
Could not delete {0} role(s) — they may still be referenced.,Ntibyashobotse gusiba inshingano {0} — zishobora kuba zikiri gukoreshwa.
Could not delete {0} {1} — they may still be referenced.,Ntibyashobotse gusiba {0} {1} — bishobora kuba bikiri gukoreshwa.
Could not load app information. Please try again later.,Ntibyashobotse kuzana amakuru ya porogaramu. Ongera ugerageze nyuma.
Could not load form metadata.,Ntibyashobotse kuzana amakuru ya fomu.
Could not load template.,Ntibyashobotse kuzana icyitegererezo.
Could not load users.,Ntibyashobotse kuzana abakoresha.
Could not start the import.,Ntibyashobotse gutangira kohereza.
Country,Igihugu
Coverage preview unavailable.,Kureba mbere ibyuzuye ntibibasha.
Currency,Ifaranga
Dashboard,Ikibaho
Date Format,Imiterere y'Itariki
Days before an unresolved issue auto-escalates to the next tier.,Iminsi mbere yuko ikibazo kitarakemuwe kijya mu rwego ruri hejuru.
Deactivate,Hagarika
Default Language,Ururimi Rwibanze
Define at least one role with at least one duty before continuing.,Tegura nibura inshingano imwe ifite nibura inshingano imwe mbere yo gukomeza.
"Define the project's user types (e.g. ""District GRM Officer"") and tick the duties each role performs in the case lifecycle.","Tegura amoko y'abakoresha b'umushinga (urugero ""Umukozi wa GRM ku Karere"") ushyire akamenyetso ku nshingano."
Delete,Siba
Delete age group {0}? This will remove it from this project's setup.,Siba itsinda ry'imyaka {0}? Bizarikura ku gutegura uyu mushinga.
Delete category {0}? This will remove it from this project's setup.,Siba icyiciro {0}? Bizagikura ku gutegura uyu mushinga.
Delete citizen group {0}? This will remove it from this project's setup.,Siba itsinda ry'abaturage {0}? Bizarikura ku gutegura uyu mushinga.
Delete department {0}?,Siba ishami {0}?
Delete department {0}? This will remove it from this project's setup.,Siba ishami {0}? Bizarikura ku gutegura uyu mushinga.
Delete issue type {0}? This will remove it from this project's setup.,Siba ubwoko bw'ikibazo {0}? Bizabukura ku gutegura uyu mushinga.
Delete level {0}?,Siba urwego {0}?
Delete notification template {0}?,Siba icyitegererezo cyo kumenyesha {0}?
Delete role,Siba inshingano
Delete role {0}?,Siba inshingano {0}?
Delete role {0}? This cannot be undone.,Siba inshingano {0}? Ibi ntibishobora gusubirwaho.
Delete row,Siba umurongo
Delete status {0}? This will remove it from this project's setup.,Siba imimerere {0}? Bizayikura ku gutegura uyu mushinga.
Delete the selected administrative level?,Siba urwego rw'ubuyobozi rwatoranyijwe?
Delete the selected age group?,Siba itsinda ry'imyaka ryatoranyijwe?
Delete the selected category?,Siba icyiciro cyatoranyijwe?
Delete the selected citizen group?,Siba itsinda ry'abaturage ryatoranyijwe?
Delete the selected issue type?,Siba ubwoko bw'ikibazo bwatoranyijwe?
Delete the selected notification template?,Siba icyitegererezo cyo kumenyesha cyatoranyijwe?
Delete the selected status?,Siba imimerere yatoranyijwe?
Delete this {0}?,Siba iyi {0}?
Delete {0},Siba {0}
Delete {0} rows,Siba imirongo {0}
Delete {0} selected administrative levels?,Siba inzego z'ubuyobozi {0} zatoranyijwe?
Delete {0} selected age groups?,Siba amatsinda y'imyaka {0} yatoranyijwe?
Delete {0} selected categories?,Siba ibyiciro {0} byatoranyijwe?
Delete {0} selected citizen groups?,Siba amatsinda y'abaturage {0} yatoranyijwe?
Delete {0} selected departments?,Siba amashami {0} yatoranyijwe?
Delete {0} selected issue types?,Siba amoko y'ibibazo {0} yatoranyijwe?
Delete {0} selected notification templates?,Siba ibyitegererezo byo kumenyesha {0} byatoranyijwe?
Delete {0} selected roles?,Siba inshingano {0} zatoranyijwe?
Delete {0} selected statuses?,Siba imimerere {0} yatoranyijwe?
Delete {0} selected {1}?,Siba {1} {0} byatoranyijwe?
Deleting…,Birasibwa...
Department,Ishami
Department '{0}' already exists for this project.,Ishami '{0}' risanzwe ririho kuri uyu mushinga.
Department Name,Izina ry'Ishami
Department Name is required.,Izina ry'Ishami rirakenewe.
Department created.,Ishami ryakozwe.
Department deleted.,Ishami ryasibwe.
Department updated.,Ishami ryavuguruwe.
"Departments are the organizational units that handle issues — typical examples: Customer Service, Engineering, Compliance, Field Operations.","Amashami ni utugarama tw'imitunganyirize tukemura ibibazo — urugero Serivisi z'Abakiriya, Ubwubatsi, Kubahiriza, Ibikorwa byo ku Murima."
Describe the Issue,Sobanura Ikibazo
"Describe what happened, when, and how it affected you...","Sobanura ibyabaye, ryari, n'uburyo byakugizeho ingaruka..."
Description,Ibisobanuro
Detected {0} rows across levels: {1},Hagaragajwe imirongo {0} mu nzego: {1}
Discard unsaved changes?,Reka impinduka zitabitswe?
Display Label,Akarango Kagaragazwa
Display Label is required.,Akarango Kagaragazwa karakenewe.
District,Akarere
Download APK,Manura APK
Download CSV template,Manura icyitegererezo cya CSV
Download Excel template,Manura icyitegererezo cya Excel
"Download a project-tailored template, fill it in with your users, then upload below.","Manura icyitegererezo cyateguriwe umushinga, kiyuzuze n'abakoresha bawe, hanyuma cyohereze hepfo."
Download public reports,Kuramo raporo rusange
"Drag your CSV or Excel file here, or click to browse.","Kurura dosiye yawe ya CSV cyangwa Excel hano, cyangwa ukande wishakishe."
Duties,Inshingano
Duty coverage complete,Inshingano zuzuye
Duty coverage incomplete,Inshingano ntizuzuye
Each category routes to either a Department (organisational) or a Role (cross-department workflow). Step 10 lets you review and re-assign at the end.,Buri cyiciro cyoherezwa ku Ishami (imitunganyirize) cyangwa Inshingano (mirimo ihuza amashami). Intambwe ya 10 ikwemerera kugenzura no kongera kuyaha mu mpera.
Each department can have a head — a user who oversees issues routed there. Step 5 (Categories) assigns issues to one of these departments by default.,Buri shami rishobora kugira umuyobozi — ukoresha ugenzura ibibazo byoherejwe aho. Intambwe ya 5 (Ibyiciro) ishyira ibibazo kuri rimwe muri aya mashami.
"Each region must cover Intake, Review, and Investigate & Resolve duties. Add users below, or remove regions you don't intend to use.","Buri karere kagomba gufata Kwakira, Kugenzura, no Gushakisha & Gukemura. Ongera abakoresha hepfo, cyangwa ukure uturere utagiye gukoresha."
"Each region must have at least one user covering Intake, Review, and Investigate & Resolve.","Buri karere kagomba kuba kafite nibura ukoresha umwe ufata Kwakira, Kugenzura, no Gushakisha & Gukemura."
"Each region must have at least one user covering Intake, Review, and Investigate & Resolve. Duties may be split across multiple users or held by one person.","Buri karere kagomba kuba kafite nibura ukoresha umwe ufata Kwakira, Kugenzura, no Gushakisha & Gukemura. Inshingano zishobora kugabanwa."
"Each template can drive an email (linked Email Template) and / or an SMS (Jinja2 message body). Use {{ tracking_code }}, {{ status }}, {{ subject }}, etc. as placeholders.","Buri cyitegererezo gishobora gukoresha imeyili (Icyitegererezo cy'Imeyili gihujwe) na / cyangwa SMS (umubiri wa Jinja2). Koresha {{ tracking_code }}, {{ status }}, {{ subject }}, n'ibindi."
Edit,Hindura
Edit Admin Level — {0},Hindura Urwego — {0}
Edit Category,Hindura Icyiciro
Edit Citizen Group,Hindura Itsinda ry'Abaturage
Edit Department,Hindura Ishami
Edit Head — {0},Hindura Umuyobozi — {0}
Edit Status,Hindura Imimerere
Edit Template,Hindura Icyitegererezo
Email,Imeyili
Email Address,Aderesi y'Imeyili
Email Template,Icyitegererezo cy'Imeyili
Email domain,Domeyini y'imeyili
Email domain '{0}' is not valid.,Domeyini y'imeyili '{0}' ntikwiye.
Email domain required,Domeyini y'imeyili irakenewe
Enable Citizen Feedback,Tangiza ibitekerezo by'abaturage
Enable SMS,Tangiza SMS
End Date,Itariki yo Kurangiza
End Date must be on or after Start Date.,Itariki yo Kurangiza igomba kuba kuri cyangwa nyuma y'Itariki yo Gutangira.
Enter an email domain (e.g. example.com) to generate emails.,Andika domeyini y'imeyili (urugero example.com) kugira ngo ukore imeyili.
Enter the 6-digit code,Andika kode y'imibare 6
Enter the 6-digit code sent to {0},Andika kode y'imibare 6 yoherejwe kuri {0}
Enter tracking code...,Andika kode yo gukurikirana...
Enter your tracking code to check the status,Andika kode yo gukurikirana kugira ngo urebe aho bigeze
Error,Ikosa
Errors,Amakosa
Escalation Department,Ishami ry'Itanga
Failed to load dashboard data.,Kuzana amakuru y'ikibaho byanze.
Failed to send code,Kohereza kode byanze
Female,Gore
Field Officer,Umukozi w'Ikigo
File a new grievance,Tanga ikirego gishya
"File your grievance via web, mobile, or field officer","Tanga ikirego cyawe ukoresheje urubuga, telefoni, cyangwa umukozi w'ikigo"
Final Status,Imimerere ya Nyuma
Final?,Birangiye?
"Finalise where each category's complaints are routed. Choose a Department for organisational routing, or a Role for cross-department workflows.","Soza aho ibibazo by'icyiciro byoherezwa. Hitamo Ishami ku byohereza by'imitunganyirize, cyangwa Inshingano ku mirimo ihuza amashami."
GRM Portal,Urubuga rwa GRM
Gender,Igitsina
Generate name-based emails (legacy),Kora imeyili zishingiye ku mazina (uburyo bushaje)
Get a tracking code and monitor progress,Habwa umubare w'ikurikirana ukurikirane aho bigeze
Go to Dashboard,Jya ku Ikibaho
Go to step,Jya ku ntambwe
Grievance Redress,Gukemura Ibibazo
Grievance Redress Mechanism,Urwego rw'Ikemurampaka
Group Name,Izina ry'Itsinda
Group Name is required.,Izina ry'Itsinda rirakenewe.
Group Type,Ubwoko bw'Itsinda
Group Type 1 / 2 separates two parallel demographic dimensions on the intake form.,Ubwoko bw'Itsinda 1 / 2 butandukanya impande ebyiri z'imibare y'abaturage ku ifishi yo kwakira.
Head,Umuyobozi
Head (User),Umuyobozi (Ukoresha)
Heads up: '{0}' is already marked Initial — only one should be the entry point.,Witondere: '{0}' isanzwe yashyizweho akamenyetso ya Mbere — imwe gusa ikwiye kuba aho bitangirira.
Heads up: project code becomes the record name and cannot be changed after save.,Witondere: kode y'umushinga ihinduka izina ry'inyandiko kandi ntishobora guhindurwa nyuma yo kubikwa.
"Highest level (single value, applied to all rows)","Urwego rwo hejuru (agaciro kamwe, gakurikizwa imirongo yose)"
Home,Ahabanza
How It Works,Uburyo Bikora
"How dates, numbers, and currency are formatted across the platform. Default Language drives label translations for citizens and staff.","Uburyo amatariki, imibare, n'amafaranga byerekanwa muri platform. Ururimi Rwibanze rugenzura ihindurwa ry'akarango."
How would you like to be contacted?,Mwifuza ko mwagezwaho mute?
I confirm the project setup is complete,Nemeza ko gutegura umushinga byarangiye
I don't know,Sinzi
I want updates,Nshaka kumenya aho bigeze
Identity,Indangamuntu
Import Regions,Kwinjiza Uturere
"Import {0}: {1} succeeded, {2} failed","Kwinjiza {0}: {1} byagenze neza, {2} byanze"
Imported {0} regions ({1} updated). {2} errors.,Hinjijwemo uturere {0} ({1} twavuguruwe). Amakosa {2}.
In Person,Ku Muntu
Inactive projects are hidden from intake screens but stay queryable in reports.,Imishinga idakora ihishe ku byerekanwa ariko ikomeza kuboneka muri raporo.
Initial Status,Imimerere ya Mbere
Initial?,Itangiriro?
Invalid email domain,Domeyini y'imeyili idakwiye
Is Active,Birakora
Issue Categories (linked),Ibyiciro by'Ibibazo (bihujwe)
"Issue Categories define the kinds of grievances this project handles, plus the default routing (which department or role picks them up, escalation paths, and confidentiality).","Ibyiciro by'Ibibazo bisobanura ubwoko bw'ibibazo umushinga ukemura, n'ahabyoherezwa (ishami cyangwa inshingano bibitwara, inzira z'ikwitwaza, n'ibanga)."
Issue Statuses define the lifecycle of a case — from intake to closure. Mark exactly one status as the Initial status (the entry point) and at least one as Final (resolution / closure).,Imimerere y'Ibibazo isobanura uburyo ikibazo kigenda — kuva ku kwakira kugeza ku ifunga. Shyira imimerere imwe gusa nka Mbere (aho bitangirira) na nibura imwe nka Nyuma (gukemura / gufunga).
Issue Type,Ubwoko bw'Ikibazo
"Issue Types complement categories — they describe the broader nature of a complaint (e.g. ""Service Quality"", ""Compensation"", ""Environmental"").","Amoko y'Ibibazo arangiza ibyiciro — asobanura imiterere rusange y'ikibazo (urugero ""Ubuziranenge"", ""Indishyi"", ""Ibidukikije"")."
Issue date cannot be in the future,Itariki y'ikibazo ntishobora kuba mu gihe kizaza
Issues in this category are routed to the user holding this role in the issue's region (or nearest ancestor) with the Investigate & Resolve duty.,Ibibazo by'iki cyiciro byoherezwa ku ukoresha ufite iyi nshingano mu karere k'ikibazo (cyangwa ahegereye) ufite inshingano yo Gushakisha & Gukemura.
Label,Akarango
Latest version,Verisiyo nshya
Leave blank for project-wide roles.,Reka ubusa ku nshingano z'umushinga wose.
Legacy: builds firstname.lastname@<domain> for rows without an email. Phone-as-login takes precedence when both are checked.,Uburyo bushaje: bukora firstname.lastname@<domeyini> ku mirongo idafite imeyili. Telefoni iza imbere igihe byombi byatoranyijwe.
Level,Urwego
Level Name,Izina ry'Urwego
Level Name '{0}' already exists for this project.,Izina ry'Urwego '{0}' risanzwe ririho kuri uyu mushinga.
Level Name is required.,Izina ry'Urwego rirakenewe.
Level Order must be an integer >= 1.,Urutonde rw'Urwego rugomba kuba umubare wuzuye >= 1.
Level created.,Urwego rwakozwe.
Level deleted.,Urwego rwasibwe.
Level type,Ubwoko bw'Urwego
Level updated.,Urwego rwavuguruwe.
Levels,Inzego
Loading counts...,Birashakwa imibare...
Loading coverage...,Birashakwa ibyuzuzwa...
Loading latest version…,Birashakwa verisiyo nshya...
Loading metrics...,Birashakwa imibare...
Loading reports...,Birashakwa raporo...
Loading…,Birashakwa...
Locale,Ururimi
Login,Injira
"Lower level_order = higher in the tree (1 = root). Each level defines its own SLA defaults: acknowledgment, resolution, reminder lead time, and auto-escalation.","level_order nto = hejuru mu giti (1 = urufatiro). Buri rwego rufite SLA z'ibanze: kwemeza, gukemura, kwibutsa, no kwitwaza ako kanya."
Male,Gabo
Map each column from your file to a target field. Required fields are marked with an asterisk.,Shyira buri nkingi yo muri dosiye ku murima ugamijwe. Imirima ikenewe yashyizweho akamenyetso.
Map these required fields before continuing:,Huza ibi byangombwa mbere yo gukomeza:
Mapping is complete — ready to preview.,Gushyira mu byiciro byarangiye — biriteguye kurebwa mbere.
Minimum 10 characters,Inyuguti 10 nibura
Missing duties,Inshingano zibura
Mobile App,Porogaramu ya Telefoni
Multiple columns mapped to admin level '{0}': {1}. Pick exactly one.,Inkingi nyinshi zashyizwe ku rwego '{0}': {1}. Hitamo imwe gusa.
Name,Izina
Name / Email,Izina / Imeyili
Needs role — edit to fix,Hakenewe inshingano — hindura ukosore
New Administrative Level,Urwego rw'Ubuyobozi Rushya
New Age Group,Itsinda ry'Imyaka Rishya
New Category,Icyiciro Gishya
New Citizen Group,Itsinda ry'Abaturage Rishya
New Department,Ishami Rishya
New Issue Type,Ubwoko bw'Ikibazo Bushya
New Status,Imimerere Nshya
New Template,Icyitegererezo Gishya
Next,Komeza
No,Oya
No administrative levels defined yet — go back to Step 2 to add them.,Nta nzego z'ubuyobozi zatangijwe — subira ku Ntambwe ya 2 kugira ngo uzongereho.
"No administrative levels yet — click ""Add Level"" to create the first one.","Nta nzego z'ubuyobozi zirahari — kanda ""Ongeraho Urwego"" kugira ngo ukore urwa mbere."
"No age groups yet — click ""Add Age Group"" to create the first one.","Nta matsinda y'imyaka arahari — kanda ""Ongeraho Itsinda ry'Imyaka"" kugira ngo ukore irya mbere."
No categories found,Nta byiciro byabonetse
"No categories yet — click ""Add Category"" to create the first one.","Nta byiciro birahari — kanda ""Ongeraho Icyiciro"" kugira ngo ukore icya mbere."
"No citizen groups yet — click ""Add Citizen Group"" to create the first one.","Nta matsinda y'abaturage arahari — kanda ""Ongeraho Itsinda ry'Abaturage"" kugira ngo ukore irya mbere."
No data,Nta makuru
"No departments defined yet — go back to Step 4 first to add departments, then return to this step.","Nta mashami yatangijwe — banza usubire ku Ntambwe ya 4 ushyiremo amashami, hanyuma usubire kuri iyi ntambwe."
"No departments yet — click ""Add Department"" to create the first one.","Nta mashami arahari — kanda ""Ongeraho Ishami"" kugira ngo ukore irya mbere."
No issue categories defined yet — go back to Step 5 to add some.,Nta byiciro by'ibibazo byatangijwe — subira ku Ntambwe ya 5 kugira ngo ubyongereho.
No issue types found,Nta bwoko bw'ibibazo bwabonetse
"No issue types yet — click ""Add Type"" to create the first one.","Nta moko y'ibibazo arahari — kanda ""Ongeraho Ubwoko"" kugira ngo ukore iya mbere."
"No notification templates yet — click ""Add Template"" to create the first one.","Nta byitegererezo byo kumenyesha bihari — kanda ""Ongeraho Icyitegererezo"" kugira ngo ukore icya mbere."
No preview rows available.,Nta murongo wo kureba mbere uhari.
No project loaded.,Nta mushinga winjijwe.
No project to activate,Nta mushinga wo gutangiza
No projects found,Nta mishinga yabonetse
No regions defined yet.,Nta turere twatangijwe.
No regions found,Nta turere twabonetse
No reports available yet,Nta raporo zihari nubu
"No roles yet — click ""+ Add Role"" below to create the first one.","Nta nshingano zirahari — kanda ""+ Ongeraho Inshingano"" hepfo kugira ngo ukore iya mbere."
No rows are ready to import. Adjust your mapping or input file and try again.,Nta murongo witeguye kohereza. Hindura uburyo bwawe cyangwa dosiye urongere ugerageze.
"No statuses yet — click ""Add Status"" to create the first one.","Nta mimerere irahari — kanda ""Ongeraho Imimerere"" kugira ngo ukore iya mbere."
No users assigned to this project yet. Add users below.,Nta bakoresha bahawe uyu mushinga. Ongeraho abakoresha hepfo.
No users match the current filters.,Nta bakoresha bahuye n'iyo myanya.
No.,Nimero
None,Nta kimwe
Not satisfied? Submit an appeal,Ntimwumva bihagije? Tanga ubujurire
"Notification Templates control the messages sent to citizens at each stage of an issue's lifecycle (receipt, acknowledgment, status updates, escalation, SLA reminders).","Ibyitegererezo byo Kumenyesha bigenzura ubutumwa boherezwa abaturage ku buri ntambwe (kwakira, kwemeza, ihinduka, kwitwaza, kwibutsa SLA)."
Notify project administrators on activation,Menyesha abayobozi b'umushinga igihe utangijwe
Number Format,Imiterere y'Imibare
Open,Bifunguye
Open Status,Imimerere Ifunguye
Open project record,Fungura inyandiko y'umushinga
Open?,Birafunguye?
Operational Defaults,Ibanze byo Gukoresha
Optional. The user who oversees issues routed to this department.,Bidategetswe. Ukoresha ugenzura ibibazo byoherejwe muri iri shami.
