1 Year,1 An
Field Officer,Agent de Terrain
File Name,Nom du Fichier
File a new grievance,Déposer une nouvelle plainte
"File your grievance via web, mobile, or field officer","Déposez votre plainte via le web, mobile, ou un agent de terrain"
From Date,A partir du
GRM Portal,Portail GRM
Gender,Genre
Get a tracking code and monitor progress,Obtenez un code de suivi et suivez la progression
Go to Dashboard,Aller au Tableau de bord
Grievance Redress,Recours et Plaintes
Grievance Redress Mechanism,Mécanisme de Recours
Home,Accueil
How It Works,Comment ça Marche
How would you like to be contacted?,Comment souhaitez-vous être contacté ?
I don't know,Je ne sais pas
I want updates,Je veux des mises à jour
In Person,En Personne
In Progress,En cours
Inactive,Inactif
Is Active,Est Active
Issue Type,Type de Plainte
Issue date cannot be in the future,La date du problème ne peut pas être dans le futur
Keyboard Shortcuts,Raccourcis clavier
Latest version,Dernière version
Loading latest version…,Chargement de la dernière version...
Loading metrics...,Chargement des données...
Loading reports...,Chargement des rapports...
Location,Lieu
Login,Connexion
Male,Homme
Minimum 10 characters,Minimum 10 caractères
Mobile App,Application Mobile
Next,Suivant
No categories found,Aucune catégorie trouvée
No data,Aucune donnée
No issue types found,Aucun type de plainte trouvé
No projects found,Aucun projet trouvé
No regions found,Aucune région trouvée
No reports available yet,Aucun rapport disponible pour le moment
Not satisfied? Submit an appeal,Pas satisfait ? Déposez un recours
Notification Settings,Paramètres de notification
Open,Ouvert
Other,Autre
Pending,En attente
Phone,Téléphone
Phone Hotline,Ligne Téléphonique
Phone Number,Numéro de Téléphone
Please describe your complaint in detail,Veuillez décrire votre plainte en détail
Preferred Contact Method,Méthode de Contact Préférée
Preview,Aperçu
Project,Projet
Provide your contact details to receive status updates,Fournissez vos coordonnées pour recevoir les mises à jour
Province,Province
Public Dashboard,Tableau de Bord Public
Public Portal,Portail Public
Public Reports,Rapports Publics
Public reports will appear here once generated.,Les rapports publics apparaîtront ici une fois générés.
Raise Issue,Signaler un Problème
Rate this resolution,Évaluez cette résolution
Rating,Évaluation
Reason,Raison
Received,Reçu
Rejected,Rejeté
Reload,Recharger
Reports,Rapports
Resend code,Renvoyer le code
Resend verification code,Renvoyer le code de vérification
Resolve,Résoudre
Resolved,Résolu
Role,Rôle
Rwanda,Rwanda
Save your tracking code to check the status of your complaint,Conservez votre code de suivi pour vérifier l'état de votre plainte
Search projects...,Rechercher des projets...
Search regions...,Rechercher des régions...
Searching...,Recherche...
Sector,Secteur
See public statistics,Voir les statistiques publiques
Select,Sélectionner
Select Project,Choisir un Projet
Select Region,Choisir la Région
Send,Envoyer
Send code to my email,Envoyer le code par e-mail
Send code to my phone,Envoyer le code sur mon téléphone
Send verification code to {0},Envoyer le code de vérification à {0}
Sending...,Envoi...
Session Defaults,Session par défaut
Settings,Paramètres
"Solution proposed, implemented, and verified","Solution proposée, mise en œuvre, et vérifiée"
Start Date,Date de Début
Status,Statut
Stay anonymous,Rester anonyme
Step {0},Étape {0}
Submission failed. Please try again.,Échec de la soumission. Veuillez réessayer.
Submit,Soumettre
Submit Another Complaint,Soumettre une Autre Plainte
Submit Complaint,Soumettre la Plainte
Submit a Grievance,Déposer une Plainte
Submit an appeal,Déposer un recours
Submit appeal,Envoyer le recours
Submit rating,Soumettre l'évaluation
Submit through the GRM mobile application available on Android,Soumettez via l'application mobile GRM disponible sur Android
Submitted,Soumise
Submitting...,Envoi en cours...
Success,Succès
System Manager,Responsable Système
Tell us why you are not satisfied,Dites-nous pourquoi vous n'êtes pas satisfait
Thanks for your feedback,Merci pour votre retour
The mobile app is not available yet. Please check back later.,L'application mobile n'est pas encore disponible. Revenez plus tard.
Timestamp,Horodatage
To Date,Jusqu'au
Toggle Full Width,Changer l'affichage en pleine largeur
Toggle Theme,Basculer le thème
Total Issues,Total des Plaintes
Track,Suivre
Track Complaint,Suivre la Plainte
Track Your Complaint,Suivre votre Plainte
Tracking Code,Code de Suivi
Tracking Result,Résultat du Suivi
User,Utilisateur
Validation Error,erreur de validation
Verify & Submit,Vérifier et Soumettre
View,Voir
View Dashboard,Voir le Tableau de Bord
View Reports,Voir les Rapports
View Website,Voir Le Site Web
Village,Village
Visit the nearest GRM office to submit your complaint in person,Rendez-vous au bureau GRM le plus proche pour déposer votre plainte en personne
Warning,Avertissement
"We are here to help. Track complaints, view statistics, and submit new grievances easily.","Nous sommes là pour vous aider. Suivez vos plaintes, consultez les statistiques et déposez de nouvelles plaintes facilement."
We'll use the default project,Nous utiliserons le projet par défaut
"Web form coming soon. For now, please use one of the methods above.","Formulaire web bientôt disponible. En attendant, veuillez utiliser l'une des méthodes ci-dessus."
What is your complaint about?,De quoi parle votre plainte ?
What's new,Nouveautés
When did this happen?,Quand cela s'est-il produit ?
Where did the issue occur?,Où s'est produit l'incident ?
Which project does your complaint relate to?,À quel projet votre plainte se rapporte-t-elle ?
Your Name,Votre Nom
Your appeal has been recorded,Votre recours a été enregistré
Your complaint will be processed without contact information,Votre plainte sera traitée sans coordonnées
eGRM Mobile App,Application Mobile eGRM
optional,facultatif
